stamp,doc_type,n_sentences,n_directional,tone_finbert,tone_direction,tone_finbert_aug,chair
2024-06-12 14:00:00,statement,16.0,0.0,-0.17078794003464282,,-0.17078794003464282,Powell
2024-06-12 14:30:00,speech,488.0,6.0,-0.03640917073324567,0.0,-0.03478148719295859,Powell
2024-07-03 14:00:00,minutes,225.0,5.0,-0.013521400541067123,-0.15,-0.028016226407554416,Powell
2024-07-09 10:00:00,speech,43.0,0.0,-0.1221194681386615,,-0.1221194681386615,Powell
2024-07-31 14:00:00,statement,17.0,0.0,-0.1885544438572491,,-0.1885544438572491,Powell
2024-07-31 14:30:00,speech,459.0,2.0,-0.01394994975694644,-0.5,-0.01663983569425695,Powell
2024-08-21 14:00:00,minutes,235.0,4.0,0.08829615646378791,-0.25,0.08588363430760008,Powell
2024-08-23 10:00:00,speech,156.0,1.0,0.007126845837308046,1.0,0.018811113404062312,Powell
2024-09-18 14:00:00,statement,15.0,2.0,-0.08109283099571864,-0.875,-0.2585478847225507,Powell
2024-09-18 14:30:00,speech,474.0,4.0,-0.012678632009695854,-0.5,-0.016488705985719644,Powell
2024-09-30 13:55:00,speech,49.0,2.0,-0.119435223617724,-1.0,-0.1691784012530531,Powell
2024-10-09 14:00:00,minutes,218.0,19.0,0.1106370094087009,-0.27631578947368424,0.05914381641142685,Powell
2024-11-07 14:00:00,statement,14.0,1.0,-0.15938264397638185,-0.75,-0.2258231815482889,Powell
2024-11-07 14:30:00,speech,411.0,4.0,-0.046715725041073894,-0.25,-0.05049745622487544,Powell
2024-11-14 15:00:00,speech,47.0,1.0,-0.1549184021163494,-0.75,-0.16928894976352124,Powell
2024-11-26 14:00:00,minutes,235.0,14.0,-0.029494526934750537,-0.1285714285714286,-0.028099712028782416,Powell
2024-12-18 14:00:00,statement,15.0,1.0,-0.14053648387392362,-0.75,-0.2029572663207849,Powell
2024-12-18 14:30:00,speech,505.0,8.0,-0.01760740186465849,-0.6875,-0.03535997858732053,Powell
2025-01-08 14:00:00,minutes,224.0,13.0,-0.017391148705168495,-0.34615384615384615,-0.0359368798090145,Powell
2025-01-29 14:00:00,statement,14.0,0.0,-0.15438056950058257,,-0.15438056950058257,Powell
2025-01-29 14:30:00,speech,464.0,4.0,-0.04021401311559924,-0.625,-0.04788469825068425,Powell
2025-02-11 10:00:00,speech,46.0,1.0,-0.18621147760068593,-1.0,-0.22762437921989223,Powell
2025-02-19 14:00:00,minutes,263.0,8.0,-0.04799041984170788,0.0,-0.04178948835699957,Powell
2025-03-07 12:30:00,speech,48.0,0.0,-0.18769051355775446,,-0.18769051355775446,Powell
2025-03-19 14:00:00,statement,17.0,0.0,-0.052808970432071126,,-0.052808970432071126,Powell
2025-03-19 14:30:00,speech,501.0,1.0,0.003971478379444924,-0.5,0.002750275782987981,Powell
2025-04-04 11:25:00,speech,47.0,0.0,-0.11665371868838655,,-0.11665371868838655,Powell
2025-04-09 14:00:00,minutes,237.0,3.0,0.06898664680745782,-0.16666666666666666,0.06340406471195352,Powell
2025-04-16 13:30:00,speech,42.0,0.0,-0.06762606539719161,,-0.06762606539719161,Powell
